band;isnew
Anzv;j
Catamenia;j
Dostulata;j
Gorthrim;j
Hulder;j
Nargaroth;j
Thyrfing;j
Afsky;n
Discreation;n
God Dethroned;n
Hate;n
Monument Of Misanthropy;n
Nail By Nail;n
Obscenity;n
Ondfødt;n
