Band;Country
Graveyard;Spain
Phrymerial;Spain
Amon Amarth;Sweden
Arch Enemy;Sweden
At the Gates;Sweden
Bloodbath;Sweden
Defleshed;Sweden
Demonical;Sweden
Enforcer;Sweden
Ereb Altor;Sweden
From North;Sweden
Grave;Sweden
Hypocrisy;Sweden
LIK;Sweden
Manegarm;Sweden
Marduk;Sweden
Mephorash;Sweden
Methane;Sweden
Nifelheim;Sweden
Orbit Culture;Sweden
Sacramentum﻿;Sweden
The Halo Effect;Sweden
Tiamat;Sweden
Unleashed;Sweden
Vomitory;Sweden
Algebra;Switzerland
Carnal Decay;Switzerland
Comaniac;Switzerland
Defaced;Switzerland
Omophagia;Switzerland
Poltergeist;Switzerland
Promethee;Switzerland
Basement Torture Killings;UK
Benediction;UK
Cancer;UK
Dyscarnate;UK
Grave Miasma;UK
Hellripper;UK
Inconcessus Lux Lucis;UK
Napalm Death;UK
Ninkharsag;UK
Nyctopia;UK
Onslaught;UK
Paradise Lost;UK
Saor;UK
Venom;UK
Hell:On;Ukraine
Jinjer;Ukraine
